zip,addresses,hospitality_companies,police_locations,parks,sport_facilities,child_facilities,elderly_facilities,toilets,handicapp,transport_rental,community_facilities,fountains,street_art,social_centers,street_lights,churches
8050,0.12013251191444844,0.004446123445309776,5.81192607230036e-05,0.0004940137161455306,0.0002034174125305126,0.0017145181913286063,8.71788910845054e-05,0.0001743577821690108,0.0011914448448215739,0.0006974311286760432,8.71788910845054e-05,0.001888875973497617,0.00043589445542252704,2.90596303615018e-05,0.07779263047774032,5.81192607230036e-05
8049,0.12558790794528418,0.0012206943596740029,3.5902775284529496e-05,0.0005026388539834129,7.180555056905899e-05,0.0012565971349585323,0.00010770832585358848,0.00014361110113811799,0.0005385416292679425,0.00035902775284529494,3.5902775284529496e-05,0.002225972067640829,0.00021541665170717695,0.0,0.078519369547266,7.180555056905899e-05
8048,0.10424191766918416,0.0028359055494193855,2.9851637362309322e-05,0.00020896146153616526,0.0003283680109854025,0.0013731753186662287,0.00011940654944923729,8.955491208692797e-05,0.0010448073076808264,0.00047762619779694916,5.9703274724618645e-05,0.001940356428550106,0.0002985163736230932,0.0,0.06641989313113825,0.00011940654944923729
8032,0.14258778178161402,0.0020950305874465765,4.1900611748931536e-05,0.00029330428224252073,4.1900611748931536e-05,0.0013408195759658092,0.00012570183524679462,0.00020950305874465767,0.0006704097879829046,0.0007123103997318361,4.1900611748931536e-05,0.0026816391519316183,0.0008380122349786307,0.0,0.07089583507919216,8.380122349786307e-05
8046,0.10350389512337417,0.0010638662960293765,3.431826761385085e-05,0.00034318267613850855,0.00017159133806925428,0.0012354576340986307,0.0001372730704554034,6.86365352277017e-05,0.00041181921136621024,0.00024022787329695597,6.86365352277017e-05,0.0016815951130786917,0.0001372730704554034,0.0,0.057277188647517074,0.00010295480284155256
8008,0.12645712805457215,0.004749158103790692,8.634832915983076e-05,0.0006044383041188153,8.634832915983076e-05,0.0016406182540367844,0.00017269665831966152,0.00038856748121923843,0.0014679215957171228,0.0007771349624384769,4.317416457991538e-05,0.0027631465331145843,0.0014679215957171228,0.0,0.07948363699162421,0.00012952249373974613
8006,0.12927145218206995,0.00308214588823871,8.933756197793362e-05,0.000491356590878635,4.466878098896681e-05,0.001652744896591772,0.00013400634296690042,0.00017867512395586724,0.0015634073346138383,0.0010720507437352034,0.00013400634296690042,0.0031268146692276766,0.00098271318175727,0.0,0.07473087059454148,0.00022334390494483405
8057,0.11484870970401517,0.0014428229862313464,0.0,0.0002473410833539451,4.122351389232418e-05,0.0010305878473081044,0.00020611756946162092,0.00016489405556929673,0.0005359056806002144,0.0006183527083848628,4.122351389232418e-05,0.0021023992085085334,0.0007832467639541594,0.0,0.07366641932558331,0.0002473410833539451
8051,0.10522642679900744,0.0014345533498759306,3.877171215880893e-05,0.0003489454094292804,0.00027140198511166254,0.0015120967741935483,0.00015508684863523573,0.0001163151364764268,0.0006203473945409429,0.00031017369727047146,7.754342431761787e-05,0.0021324441687344915,0.00015508684863523573,0.0,0.05893300248138958,0.00015508684863523573
8004,0.07770418137784132,0.010475328995360508,0.00017507513641271046,0.00017507513641271046,5.835837880423682e-05,0.001137988386682618,0.00011671675760847364,0.00032097108342330253,0.0010504508184762628,0.000787838113857197,8.753756820635523e-05,0.0016923929853228678,0.0005544045986402498,0.0,0.05637419392489277,0.00014589594701059204
8038,0.1389008620689655,0.0020474137931034485,0.0,0.00026939655172413793,5.3879310344827585e-05,0.0013469827586206897,0.00021551724137931034,0.00026939655172413793,0.000646551724137931,0.00048491379310344827,0.00016163793103448276,0.003232758620689655,0.0010775862068965517,0.0,0.08060344827586206,0.00016163793103448276
