,safety_indic,hospitality_indic,handicapp_indic,parks_indic,pf_indic,cc_indic,sf_indic,cf_indic
8050,0.03089682840404419,-0.004572563924981636,0.05708551828260493,-0.010871173066193469,-0.06973839300214518,-0.006650365003813271,0.0267532407122274,0.060253240936836455
8049,-0.02262144566169078,-0.09850283129731881,-0.08832493981291692,-0.014034132096575922,-0.09944252099517124,-0.08424046974099456,-0.08493188785113534,-0.007254113926533939
8048,-0.023799860883726112,-0.03350291427369039,0.033033768962565074,-0.11034059047346338,-0.10625812291824284,-0.034870531843473475,0.13278565636630163,0.00993200299778263
8032,0.0009547516514623077,-0.05935918093134903,-0.02311370416077115,-0.0727920536380365,-0.007546688644071448,-0.062332904036800994,-0.11030906044811317,0.005162074701277497
8046,-0.032634937194224195,-0.09841372284763084,-0.10285325384265324,-0.05783681079176283,-0.14995645792816395,-0.007861600512583718,-0.0002541974084628862,-0.010370528352846298
8008,0.08458796045865896,0.025441925849845264,0.10129790682273543,0.022522512709535883,0.059323609412698736,-0.030517456079715278,-0.0725909630106786,0.04935881006989659
8006,0.09580037279989838,-0.020039238355232834,0.12136539649610359,-0.011079987132266485,0.0468191507777434,0.10546611825889057,-0.10796000670135414,0.05114653647136436
8057,-0.07062325156283503,-0.0761536862044761,-0.054429403767693105,-0.08787057932342823,-0.05172774864059261,-0.01293322747538471,-0.11088364210084686,-0.040572715400724824
8051,-0.010481537423187682,-0.06950661134493598,-0.04590534340655709,-0.054729534910980995,-0.11507167954567689,0.019067599158507517,0.0844445887099845,0.03041199592660651
8004,0.23342086385634517,0.17854826963266476,0.05751239840052097,-0.10625152650156196,-0.04278562421753068,0.012566937251834755,-0.09634308654542661,-0.024739579485233643
8038,-0.1553914334311127,-0.0675039245157414,-0.035683975940111586,-0.08451157678536031,0.018173345192779154,0.2055219691231512,-0.10014400030257516,0.006070659604249379
8052,-0.16554888094251247,-0.06635176664953431,-0.11953851524312745,-0.04534925595245787,-0.16650407111428686,-0.058081830060335855,0.10994425478363345,-0.008393324039465605
8001,0.7059724241045003,0.7758296190427004,0.30623615628148065,0.21264984017976463,0.9647159732841453,-0.052114025109279115,-0.0724642010791694,-0.026732449017786764
8047,-0.1350010108414751,-0.07850208311097988,-0.0732313844394842,-0.11134172862755819,-0.1498680104056757,-0.011572168430510102,-0.04021396689861692,0.021629583254767076
8055,-0.11146765517319841,-0.07908418513785224,-0.04962165508225159,-0.07496450055418022,-0.10709076877639373,0.0005999018411921224,0.003416508540331653,0.04090190152515577
8053,-0.21567832063965509,-0.13072822889178426,-0.11123304103990388,0.15051585566783746,-0.03711230540206732,-0.022635689997549568,-0.0775518430398191,-0.014486918924233372
8044,-0.10874071349272006,-0.08418135390210373,0.24059259138080688,0.1632998161895666,-0.030020048022965515,-0.16673384481259965,0.0509631335491296,-0.06712569774367422
8037,-0.06455958213964672,-0.045699319334861356,-0.008263214284460278,0.08537395700072048,-0.04331819012680221,0.11115953336224987,-0.05421490365981334,0.030403970747652914
8045,0.055694278092619766,0.006982398769099198,-0.0038037639664076643,0.03935410846969121,-0.049410731764407606,-0.07271023355960456,0.11070110530659083,0.01921287022205445
8005,0.12174868323314908,0.1710345616831277,0.1979898669625565,-0.1018020879540031,0.024834689146113878,-0.03520857130377445,-0.1040073292293607,0.011107249224948379
8003,0.008375918683342498,0.049817279037158546,0.055007890354261964,-0.09602654477011188,-0.0038575236148971686,-0.18894263082583831,-0.07455521849877428,-0.06242571008651482
8002,0.20704839625799068,0.05411173268099774,0.10857833742038853,0.04780590143753716,0.24406726264508996,-0.21537815800191315,-0.017407523080044618,0.041817597467394524
8041,-0.1949647017323577,-0.09516655558022614,-0.03949015868945317,0.3523955206774117,-0.002785815227145862,0.17932321071098312,0.29726469430681973,0.09618076805388229
8064,-0.08140396512485079,-0.05203749194362134,-0.07789248065324442,-0.09482113993887407,0.08483551331944887,0.6444565950892748,0.453424345098749,-0.018984824359243424
8143,-0.1515831812988184,-0.10246012844927328,-0.4453149970349894,0.06070571018475057,-0.21027484343178227,-0.21537815800191315,-0.14586569751957673,-0.19250339986761147
