,addresses_pp,hospitality_companies_pp,police_locations_pp,parks_pp,sport_facilities_pp,child_facilities_pp,elderly_facilities_pp,toilets_pp,handicapp_pp,transport_rental_pp,community_facilities_pp,fountains_pp,street_art_pp,social_centers_pp,street_lights_pp,churches_pp,parks_distance,police_locations_distance,toilets_distance,handicapp_distance,hospitality_companies_distance
8050,0.12013251191444844,0.004446123445309776,5.81192607230036e-05,0.0004940137161455306,0.0002034174125305126,0.0017145181913286065,8.71788910845054e-05,0.0001743577821690108,0.001191444844821574,0.0006974311286760432,8.71788910845054e-05,0.001888875973497617,0.00043589445542252704,2.90596303615018e-05,0.07779263047774032,5.81192607230036e-05,310.8185052562235,677.4149259179068,623.5329925416632,209.8412278587975,156.83474860319433
8049,0.12558790794528418,0.0012206943596740026,3.590277528452949e-05,0.0005026388539834129,7.180555056905898e-05,0.0012565971349585323,0.00010770832585358848,0.00014361110113811799,0.0005385416292679425,0.00035902775284529494,3.590277528452949e-05,0.002225972067640829,0.00021541665170717692,0.0,0.07851936954726599,7.180555056905898e-05,453.04008266569406,881.866465209658,461.6649217239221,382.70744066612673,205.71160658098768
8048,0.10424191766918416,0.002835905549419385,2.985163736230932e-05,0.0002089614615361653,0.00032836801098540247,0.0013731753186662287,0.00011940654944923728,8.955491208692796e-05,0.0010448073076808264,0.0004776261977969492,5.970327472461865e-05,0.0019403564285501058,0.00029851637362309316,0.0,0.06641989313113825,0.00011940654944923728,626.1578764503975,749.8859177992807,493.8758121407296,225.59721246528227,134.73161855552556
8032,0.14258778178161402,0.0020950305874465765,4.1900611748931536e-05,0.00029330428224252073,4.1900611748931536e-05,0.0013408195759658092,0.00012570183524679464,0.0002095030587446577,0.0006704097879829046,0.0007123103997318361,4.1900611748931536e-05,0.0026816391519316183,0.0008380122349786308,0.0,0.07089583507919216,8.380122349786307e-05,333.2883822054895,701.2351363639998,326.19832966485797,251.72181059349958,157.04115245172062
8046,0.10350389512337416,0.0010638662960293763,3.431826761385085e-05,0.0003431826761385085,0.00017159133806925428,0.0012354576340986307,0.0001372730704554034,6.86365352277017e-05,0.00041181921136621024,0.000240227873296956,6.86365352277017e-05,0.0016815951130786915,0.0001372730704554034,0.0,0.057277188647517074,0.00010295480284155256,338.343875757532,914.7007640809703,557.4752535471423,379.5526022494118,196.03317989813772
8008,0.12645712805457215,0.004749158103790692,8.634832915983076e-05,0.0006044383041188152,8.634832915983076e-05,0.0016406182540367846,0.00017269665831966152,0.0003885674812192384,0.0014679215957171226,0.0007771349624384769,4.317416457991538e-05,0.0027631465331145843,0.0014679215957171226,0.0,0.07948363699162421,0.0001295224937397461,315.01279383108874,591.357045001607,318.3418294193748,183.17864872292589,97.38297150611947
8006,0.12927145218206995,0.00308214588823871,8.933756197793362e-05,0.000491356590878635,4.466878098896681e-05,0.001652744896591772,0.00013400634296690042,0.00017867512395586724,0.0015634073346138385,0.0010720507437352034,0.00013400634296690042,0.003126814669227677,0.00098271318175727,0.0,0.07473087059454148,0.00022334390494483403,296.09542916277013,505.18813718430954,337.0123643096338,161.10973529844915,114.70837969872257
8057,0.11484870970401515,0.0014428229862313464,0.0,0.0002473410833539451,4.122351389232418e-05,0.0010305878473081042,0.00020611756946162086,0.00016489405556929673,0.0005359056806002144,0.0006183527083848628,4.122351389232418e-05,0.0021023992085085334,0.0007832467639541594,0.0,0.07366641932558331,0.0002473410833539451,360.52264358610955,747.6285000292388,521.7291150974967,290.9786384716368,161.2313811936895
8051,0.10522642679900744,0.0014345533498759304,3.8771712158808926e-05,0.0003489454094292804,0.0002714019851116625,0.0015120967741935483,0.0001550868486352357,0.00011631513647642681,0.0006203473945409428,0.0003101736972704714,7.754342431761787e-05,0.0021324441687344915,0.0001550868486352357,0.0,0.05893300248138957,0.0001550868486352357,305.0135637192415,744.9013891345256,459.50042869200007,296.18183247737846,143.52395364109077
8004,0.07770418137784132,0.010475328995360508,0.00017507513641271046,0.00017507513641271046,5.835837880423682e-05,0.001137988386682618,0.00011671675760847364,0.00032097108342330253,0.0010504508184762628,0.000787838113857197,8.753756820635523e-05,0.0016923929853228678,0.0005544045986402498,0.0,0.056374193924892776,0.00014589594701059204,272.38717605266555,481.2751758878494,217.0541999528217,161.85974660680588,45.95065832684578
8038,0.1389008620689655,0.0020474137931034485,0.0,0.00026939655172413793,5.3879310344827585e-05,0.0013469827586206895,0.00021551724137931034,0.00026939655172413793,0.0006465517241379309,0.00048491379310344827,0.00016163793103448276,0.003232758620689655,0.0010775862068965515,0.0,0.08060344827586206,0.00016163793103448276,442.76084915852084,1754.9305958425737,360.7119068982971,277.4895148806749,175.25929468407446
8052,0.10753197536712457,0.0016795142328065113,0.0,0.0003875802075707334,0.00030145127255501485,0.0012488695577279186,0.0001291934025235778,4.306446750785927e-05,0.00021532233753929631,0.0002583868050471556,4.306446750785927e-05,0.0013780629602514966,0.0001291934025235778,0.0,0.05710348391542139,0.0001291934025235778,363.1111444627164,1813.8240484052483,628.6965697141933,359.000607806283,150.11314932371369
8001,0.20958394602543032,0.03589654874145835,0.00043248853905371515,0.001210967909350402,8.649770781074301e-05,0.0011244702015396591,0.00025949312343222903,0.0013839633249718881,0.0029409220655652623,0.0018164518640256034,0.0,0.012801660755989966,0.005708848715509039,8.649770781074301e-05,0.2566386990744745,0.0009514747859181732,173.18388609866335,365.0777305637164,183.38679911090819,123.18576225179187,31.031815117156512
8047,0.09628154050464807,0.0012865205843293492,0.0,0.00016600265604249667,0.0001245019920318725,0.0014525232403718462,0.00020750332005312088,0.0001245019920318725,0.00037350597609561747,0.00033200531208499334,4.150066401062417e-05,0.001203519256308101,0.000249003984063745,4.150066401062417e-05,0.04370019920318725,0.0001245019920318725,329.735845237899,1423.1255561856142,448.73842640460094,287.42712380443317,157.89531084629766
